
Name                                                    Status
----                                                    ------
AarSvc_1228b9                                          Stopped
AJRouter                                               Stopped
ALG                                                    Stopped
AppMgmt                                                Stopped
AppReadiness                                           Stopped
AppVClient                                             Stopped
AppXSvc                                                Stopped
AssignedAccessManagerSvc                               Stopped
autotimesvc                                            Stopped
AxInstSV                                               Stopped
BcastDVRUserService_1228b9                             Stopped
BDESVC                                                 Stopped
CaptureService_1228b9                                  Stopped
CbDefenseWSC                                           Stopped
ClipSVC                                                Stopped
cloudidsvc                                             Stopped
COMSysApp                                              Stopped
ConsentUxUserSvc_1228b9                                Stopped
CredentialEnrollmentManagerUserSvc_1228b9              Stopped
CscService                                             Stopped
defragsvc                                              Stopped
DeviceAssociationBrokerSvc_1228b9                      Stopped
DeviceInstall                                          Stopped
DevicePickerUserSvc_1228b9                             Stopped
DevicesFlowUserSvc_1228b9                              Stopped
DevQueryBroker                                         Stopped
diagnosticshub.standardcollector.service               Stopped
diagsvc                                                Stopped
DialogBlockingService                                  Stopped
DmEnrollmentSvc                                        Stopped
dmwappushservice                                       Stopped
dot3svc                                                Stopped
DsmSvc                                                 Stopped
Eaphost                                                Stopped
edgeupdate                                             Stopped
edgeupdatem                                            Stopped
embeddedmode                                           Stopped
EntAppSvc                                              Stopped
Fax                                                    Stopped
fdPHost                                                Stopped
FDResPub                                               Stopped
fhsvc                                                  Stopped
FlexeraDockerMon                                       Stopped
FrameServer                                            Stopped
GoogleChromeElevationService                           Stopped
gpsvc                                                  Stopped
GraphicsPerfSvc                                        Stopped
gupdate                                                Stopped
gupdatem                                               Stopped
HfcDisableService                                      Stopped
HgClientService                                        Stopped
iaStorAfsService                                       Stopped
icssvc                                                 Stopped
Intel(R) Capability Licensing Service TCP IP Interface Stopped
Intel(R) TPM Provisioning Service                      Stopped
IntelAudioService                                      Stopped
IpxlatCfgSvc                                           Stopped
KtmRm                                                  Stopped
lltdsvc                                                Stopped
lpasvc                                                 Stopped
lppsvc                                                 Stopped
LxpSvc                                                 Stopped
LxssManagerUser_1228b9                                 Stopped
MapsBroker                                             Stopped
MessagingService_1228b9                                Stopped
mfefire                                                Stopped
MicrosoftEdgeElevationService                          Stopped
MixedRealityOpenXRSvc                                  Stopped
MSiSCSI                                                Stopped
msiserver                                              Stopped
MsKeyboardFilter                                       Stopped
NaturalAuthentication                                  Stopped
NcaSvc                                                 Stopped
NcdAutoSetup                                           Stopped
Netman                                                 Stopped
NetSetupSvc                                            Stopped
NetTcpPortSharing                                      Stopped
NgcCtnrSvc                                             Stopped
NgcSvc                                                 Stopped
OfficeSvcManagerAddons                                 Stopped
p2pimsvc                                               Stopped
p2psvc                                                 Stopped
PeerDistSvc                                            Stopped
perceptionsimulation                                   Stopped
PerfHost                                               Stopped
PhoneSvc                                               Stopped
pla                                                    Stopped
PNRPAutoReg                                            Stopped
PNRPsvc                                                Stopped
PrintNotify                                            Stopped
PushToInstall                                          Stopped
RasAuto                                                Stopped
RemoteAccess                                           Stopped
RemoteRegistry                                         Stopped
RetailDemo                                             Stopped
RpcLocator                                             Stopped
SCardSvr                                               Stopped
ScDeviceEnum                                           Stopped
SCPolicySvc                                            Stopped
SDRSVC                                                 Stopped
seclogon                                               Stopped
SEMgrSvc                                               Stopped
Sense                                                  Stopped
SensorDataService                                      Stopped
SensorService                                          Stopped
SensrSvc                                               Stopped
SharedRealitySvc                                       Stopped
shpamsvc                                               Stopped
smphost                                                Stopped
SmsRouter                                              Stopped
smstsmgr                                               Stopped
SNMPTRAP                                               Stopped
spectrum                                               Stopped
sppsvc                                                 Stopped
ssh-agent                                              Stopped
stisvc                                                 Stopped
svsvc                                                  Stopped
swprv                                                  Stopped
TieringEngineService                                   Stopped
TroubleshootingSvc                                     Stopped
TrustedInstaller                                       Stopped
tzautoupdate                                           Stopped
UdkUserSvc_1228b9                                      Stopped
UevAgentService                                        Stopped
upnphost                                               Stopped
VacSvc                                                 Stopped
vds                                                    Stopped
vmicguestinterface                                     Stopped
vmicheartbeat                                          Stopped
vmickvpexchange                                        Stopped
vmicrdv                                                Stopped
vmicshutdown                                           Stopped
vmictimesync                                           Stopped
vmicvmsession                                          Stopped
vmicvss                                                Stopped
VSS                                                    Stopped
WalletService                                          Stopped
WarpJITSvc                                             Stopped
wbengine                                               Stopped
wcncsvc                                                Stopped
WdiSystemHost                                          Stopped
WdNisSvc                                               Stopped
Wecsvc                                                 Stopped
WEPHOSTSVC                                             Stopped
wercplsupport                                          Stopped
WerSvc                                                 Stopped
WFDSConMgrSvc                                          Stopped
WiaRpc                                                 Stopped
WinDefend                                              Stopped
WinRM                                                  Stopped
wisvc                                                  Stopped
wlidsvc                                                Stopped
wlpasvc                                                Stopped
WManSvc                                                Stopped
WMPNetworkSvc                                          Stopped
workfolderssvc                                         Stopped
WpcMonSvc                                              Stopped
WPDBusEnum                                             Stopped
wuauserv                                               Stopped
WwanSvc                                                Stopped
XblAuthManager                                         Stopped
XblGameSave                                            Stopped
XboxGipSvc                                             Stopped
XboxNetApiSvc                                          Stopped

