
[32;1m  Id     Duration CommandLine[0m
[32;1m  --     -------- -----------[0m
   1        0.409 (Get-Command).count
   2       18.923 vagrant plugin install vagrant-vmware-desktop
   3     6:15.933 update-help
   4     1:11.048 Get-Command | more
   5        0.218 Get-Command -CommandType Function | measure-object
   6        1.588 Get-Command -Name *Ip* -Module NetTCPIP
   7     4:06.348 help Get-NetIPAddress
   8        1.874 Get-NetIPAddress
   9        0.280 ipcofig
  10        0.414 ipconfig
  11        0.243 md C:\Users\bhavanishankar_pradh\OneDrive - Dell Technologies\DELL-Project-Data\Scripts\PowerShell\transcripts
  12        0.123 md 'C:\Users\bhavanishankar_pradh\OneDrive - Dell Technologies\DELL-Project-Data\Scripts\PowerShell\transcripts'
  13     1:41.541 help Get-History
  14        0.193 Get-History
  15        0.163 Get-Command -Name *Ip* -Module NetTCPIP
  16        0.163 Get-History | Out-File .'C:\Users\bhavanishankar_pradh\OneDrive - Dell Technologies\DELL-Project-Data\Scripts\PowerShell\transcripts\history.txt'
  17        0.126 Get-History | Out-File '.C:\Users\bhavanishankar_pradh\OneDrive - Dell Technologies\DELL-Project-Data\Scripts\PowerShell\transcripts\history.txt'

